n_packets,FlowID,SourceAddress,DestinationAddress,TxBytes,RxBytes,TxPackets,RxPackets,start time, stop time, duration, Throughput_Mbps,OfferedLoad_Mbps
11,2,10.1.1.3,10.1.1.1,1145628,1145628,1089,1089,1.049197,99.929627,98.880430,0.092688,0.180224
11,3,10.1.1.2,10.1.1.3,48,48,1,1,1.031133,1.031133,0.000000,inf,0.180224
11,4,10.1.1.2,10.1.1.1,48,48,1,1,1.022070,1.022070,0.000000,inf,0.180224
11,5,10.1.1.3,10.1.1.2,30,30,1,1,1.038252,1.038252,0.000000,inf,0.180224
12,1,10.1.1.2,10.1.1.1,1250828,1250828,1189,1189,1.016222,100.005101,98.988879,0.101088,0.196608
12,2,10.1.1.3,10.1.1.1,1249776,1249776,1188,1188,1.053447,99.937198,98.883751,0.101111,0.196608
12,3,10.1.1.2,10.1.1.3,48,48,1,1,1.028344,1.028344,0.000000,inf,0.196608
12,4,10.1.1.2,10.1.1.1,48,48,1,1,1.020071,1.020071,0.000000,inf,0.196608
12,5,10.1.1.3,10.1.1.2,30,30,1,1,1.042583,1.042583,0.000000,inf,0.196608
13,1,10.1.1.2,10.1.1.1,1353924,1353924,1287,1287,1.007281,99.928183,98.920902,0.109495,0.212992
13,2,10.1.1.3,10.1.1.1,1353924,1353924,1287,1287,1.044597,99.943607,98.899010,0.109520,0.212992
13,3,10.1.1.2,10.1.1.3,48,48,1,1,1.020393,1.020393,0.000000,inf,0.212992
13,4,10.1.1.2,10.1.1.1,48,48,1,1,1.016070,1.016070,0.000000,inf,0.212992
13,5,10.1.1.3,10.1.1.2,30,30,1,1,1.033752,1.033752,0.000000,inf,0.212992
14,1,10.1.1.2,10.1.1.1,1459124,1459124,1387,1387,1.012213,100.005103,98.992891,0.117917,0.229376
14,2,10.1.1.3,10.1.1.1,1458072,1458072,1386,1386,1.048616,99.949101,98.900485,0.117943,0.229376
14,3,10.1.1.2,10.1.1.3,48,48,1,1,1.024745,1.024745,0.000000,inf,0.229376
14,4,10.1.1.2,10.1.1.1,48,48,1,1,1.014701,1.014701,0.000000,inf,0.229376
14,5,10.1.1.3,10.1.1.2,30,30,1,1,1.037511,1.037511,0.000000,inf,0.229376
15,1,10.1.1.2,10.1.1.1,1562220,1562220,1485,1485,1.017995,99.938430,98.920434,0.126342,0.245760
15,2,10.1.1.3,10.1.1.1,1562220,1560116,1485,1483,1.289451,99.953854,98.664402,0.126499,0.245760
15,3,10.1.1.2,10.1.1.3,144,144,3,3,1.262405,29.103109,27.840703,0.000041,0.245760
15,4,10.1.1.2,10.1.1.1,96,96,2,2,1.257062,29.089176,27.832114,0.000028,0.245760
15,5,10.1.1.3,10.1.1.2,60,60,2,2,1.278367,29.104443,27.826076,0.000017,0.245760
16,1,10.1.1.2,10.1.1.1,1666368,1666368,1584,1584,1.011501,99.942614,98.931113,0.134750,0.262144
16,2,10.1.1.3,10.1.1.1,1666368,1666368,1584,1584,1.045377,99.958018,98.912641,0.134775,0.262144
16,3,10.1.1.2,10.1.1.3,48,48,1,1,1.025833,1.025833,0.000000,inf,0.262144
16,4,10.1.1.2,10.1.1.1,48,48,1,1,1.022070,1.022070,0.000000,inf,0.262144
16,5,10.1.1.3,10.1.1.2,30,30,1,1,1.034292,1.034292,0.000000,inf,0.262144
17,1,10.1.1.2,10.1.1.1,1771568,1771568,1684,1684,1.015401,100.005101,98.989700,0.143172,0.278528
17,2,10.1.1.3,10.1.1.1,1770516,1770516,1683,1683,1.054517,99.961698,98.907182,0.143206,0.278528
17,3,10.1.1.2,10.1.1.3,48,48,1,1,1.029253,1.029253,0.000000,inf,0.278528
17,4,10.1.1.2,10.1.1.1,48,48,1,1,1.022070,1.022070,0.000000,inf,0.278528
17,5,10.1.1.3,10.1.1.2,30,30,1,1,1.043492,1.043492,0.000000,inf,0.278528
18,1,10.1.1.2,10.1.1.1,1874664,1874664,1782,1782,1.008342,99.949557,98.941215,0.151578,0.294912
18,2,10.1.1.3,10.1.1.1,1874664,1874664,1782,1782,1.050507,99.964981,98.914473,0.151619,0.294912
18,3,10.1.1.2,10.1.1.3,48,48,1,1,1.029354,1.029354,0.000000,inf,0.294912
18,4,10.1.1.2,10.1.1.1,48,48,1,1,1.018071,1.018071,0.000000,inf,0.294912
18,5,10.1.1.3,10.1.1.2,30,30,1,1,1.038593,1.038593,0.000000,inf,0.294912
19,1,10.1.1.2,10.1.1.1,1978812,1978812,1881,1881,1.008301,99.952465,98.944164,0.159994,0.311296
19,2,10.1.1.3,10.1.1.1,1978812,1978812,1881,1881,1.052537,99.967889,98.915352,0.160041,0.311296
19,3,10.1.1.2,10.1.1.3,48,48,1,1,1.031313,1.031313,0.000000,inf,0.311296
